원숭이,monkey
교과목,subject in school
교과서,textbook
소문,rumor
충전기,charger
청구서,bill
계산원,cashier
계산기,calculator
출장,business Trip
밥솥,rice Cooker
소설,novel
백과사전,encyclopedia
전공,major (in school)
가위,scissors
팀,team
부모님,parents
피부,Skin
군대,army
군인,soldier
지도,map
책상,desk
어깨,shoulder
백화점,department store
대학생,university/college tudent
중학교,middle School
가수,singer
공기,air
새벽,dawn
자르다,to cut
요청하다,to request
궁금하다,to be curious about
안타깝다,to be unfortunate
젖다,to be wet
주로,"mainly, mostly"
저쪽,that direction
내부,inside part
외부,outside part
