버스,bus
정류장,stop/station
버스 정류장,bus stop
버스 기사,bus driver (not 아저씨)
버스 아저씨,bus driver (not 기사)
전철,subway (two syllables)
지하철,subway (three syllables)
역,station
위치,location
길,street/road (one syllable)
거리,street/road (two syllables)
사거리,intersection
교통카드,transportation card
자리,a place to sit
노약 좌석,a seat for the elderly and weak
호선,line in a subway
출구,exit of a subway station
택시,taxi
막차,last train/bus
첫차,first train/bus
가다,to go
오다,to come
만나다,to meet
건너다,to cross (a road)
내리다,to get off
타다,to get on
찍다,to scan a card
갈아타다,to transfer (ㄱ...)
환승하다,to transfer (ㅎ...)
데려다 주다,to bring a person to a certain point
길을 잃다,to be lost
앉다,to sit
충전하다,to recharge
멈추다,to stop (ㅁ...)
자리를 맡다,to save a seat for somebody
놓치다,to miss (not 보... or 그...)
빠르다,to be fast
느리다,to be slow
복잡하다,to be confusing (ㅂ...)
오른쪽,the right side/direction
왼쪽,the left side/direction
건너편,the opposite side
반대로,the opposite direction
여기,here
거기,there (not 저...)
저기,there (not 거...)
