정장,a suit
기한,"time limit, deadline"
윤리,ethics/morals
온몸,entire body
독,poison
인권,human rights
교과 과정,curriculum
지점,a “point” when it refers to a place
선거,election
세탁,laundry (ㅅ...)
자습하다,to teach oneself
생기다,"to occur, to come up, to arise"
미끄러지다,to slip
비키다,"to step aside, to step away"
참고하다,"to refer to, to consult"
바르다,to apply or spread a liquid
고립되다,to be isolated
미끄럽다,to be slippery
시급하다,to be urgent
동일하다,"to be the same as, to be identical to"
술술,smoothly
첫눈,first sight
등,etc…
장기,a long time period
단기,a short time period (the opposite of 장기)
