정성,effort (ᄌ...)
배낭,backpack
서랍,drawer
실종자,missing person
지구본,globe
구호,relief
연설,speech (ᄋ...)
소매,sleeve
뛰어다니다,to run around an area
돌려보다,to turn and look
알려주다,to let somebody know
지켜보다,to protect by watching (to watch over)
비켜서다,to stand/step aside
올려놓다,to place something on something
뛰어가다,to run to (to go by running) (ᄄ...)
달려가다,to run to (to go by running) (ᄃ...)
뛰어오다,to come running (ᄄ...)
달려오다,to come running (ᄃ...)
매혹하다,to captivate (ᄆ...)
통하다,to flow through
쭈그리다,to crouch
맡다,to smell
배신하다,to betray
종합하다,to put together
사로잡다,to captivate (ᄉ...)
전력하다,to try one’s best
마무리하다,to finish off
실종되다,for a person to go missing
평범하다,"to be ordinary, to be plain"
스승의 날,teachers day
