검,sword
겹,layer
밀,wheat
고대,ancient
수익,profit
분기,a quarter (of a year)
정의,definition
장비,"equipment, apparatus"
체면,one’s reputation
명성,one’s reputation
은어,slang
강철,steel
흔적,"trace, evidence"
응급,emergency
음급실,emergency room
사춘기,puberty
혼내다,"to be mad at somebody, to yell at somebody"
혼나다,"to be scolded, to be yelled at"
구기다,"to wrinkle, to crumple"
삐지다,to sulk
깎이다,to be disgraced
깎이다,"to be peeled, to be sharpened"
벗어나다,to get out of/break away from
거칠다,to be rough/course/uneven
소심하다,to be timid
기특하다,"to be admirable, commendable"
