얼마나,how much
몇,how many
뭐,what (adverb)
무슨,what (adjective)
무엇,what (noun)
어떤,which
어떤,some
어느,which for places
어때,how was
대개,usually (not ㅂ...)
바깥,outside (not ㅇ...)
쯤,approximately
계란,eggs
자리,"a seat, a place to put something"
중요성,"importance, emphasis"
벌금,a fine
파일,file
로션,lotion
습관,"customs, habit"
치마,skirt
단계,"step, phase, stage"
짓,some sort of negative action
차지하다,to occupy a space
수거하다,"to collect, to come and pick up"
찢다,"to tear, to rip"
첨부하다,to attach (a file)
다녀오다,to go and then come back
예상하다,to expect
올바르다,to be correct (not 맞다)
복잡하다,to be complicated (ㅂ...)
짧다,to be short
서로,reciprocally
필독,must read
며칠,how many days
퍼센트,Percent
