줄거리,summary, plot
체육관,gymnasium
조직,organization (ㅈ...)
양식,a form to fill out
중간,middle (ㅈ...ㄱ...)
중간고사,midterm exam
중간지점,halfway point
기말고사,final exam
나머지,the remainder
빈손,empty hands
기록하다,to record
등교하다,to go to school
하교하다,to leave school
고민하다,to worry (ㄱ...ㅁ...)
활동하다,to do an activity (ㅎ...ㄷ...)
수정하다,"to correct, to modify, to fix"
데려다 주다,to take a person somewhere
덧붙이다,to add one more thing on top of
살피다,"to see, to watch closely (ㅅ...)"
차다,to kick
고치다,"to fix, to repair (ㄱ...ㅊ...)"
반하다,to fall in love at first sight
부지런하다,to be diligent
희미하다,"to be dim, to be faint, to be vague"
채소,vegetable (ㅊ...)
