무너지다,to be collapsed
무너뜨리다,to collapse something
헝클어지다,to be tangled
헝클어뜨리다,to tangle something
부서지다,to be smashed/crushed
부서뜨리다,to smash/crush
부러지다,to be broken/fractured
부러뜨리다,to break/fracture
흐트러지다,to be messy/untidy
흐트러뜨리다,to make messy/untidy
구부러지다,to be bent
구부러뜨리다,to bend
터지다,to explode
터뜨리다,to make explode
서구,western
서구화,westernization
현대,modern
현대화,modernization
일반,general
일반화,generalization
합리,rationality
합리화,rationalization
대중,mass/popular
대중화,popularization
평준,standard
평준화,standardization
다양,diversity
다양화,diversification
산업,industry
산업화,industrialization
상업,commerce
상업화,commercialization
가속,acceleration
가속화,acceleration
차별,differentiation
차별화하다,differentiate
간소,simplicity
간소화,simplification
활성,vitality
활성화,vitalization
표준,standard
표준화,standardization

 
