과일,fruit
술,alcohol
우산,umbrella
권,counter for books
잎,leaf
교회,church
강,river
반갑다,to be good, happy
계절,season
따뜻하다,to be warm
날씨,weather
부엌,kitchen (ㅂ...)
담임,homeroom
방학,school vacation
머무르다,to stay
당근,carrot
무,radish
감자,potato
칼,knife
쉬다,to relax/rest
보내다,to send
높다,to be high
걸어오다,to come by walking
걸어가다,to go by walking
초대하다,to invite
단어,word
문법,grammar
울다,to cry
발,foot
바다,sea
신문,newspaper
고객,customer
환영하다,to welcome
부자,rich person
가난하다,to be poor
교육,education
시험,exam
기분,feelings
분,person (high respect form)
순서,turn
