기적,miracle
차량,vehicle
관객,audience
치과,dentistry
공연,"performance, show, concert"
업무,administrative work
탈의실,change room
표,ticket
간장,soy sauce
고생,some hard time or hardship
휴대폰,cell phone
뜻,meaning (ㄸ...)
세일,sale
이력서,"resume, curriculum vitae"
비서,secretary
연예인,celebrity
행사,"event, function"
명령하다,"to order, to command"
빼다,"to pull out, to extract (no 받침)"
지원하다,to apply for
신다,to put on shoes
신기다,to put shoes on somebody
따르다,to pour
채우다,to fill
비우다,to empty
끊다,to cut off, to quit something
헤어지다,to break up with a person
살리다,to save a life
썰다,to chop, to slice
예매하다,to purchase in advance
판단하다,to judge
해결하다,"to solve, to resolve"
구하다,"to search for a worker, to search for a job"
통제하다,to control
연락하다,to contact
예약하다,to reserve
평가하다,to evaluate
끊기다,to be cut off
막히다,to be congested
약하다,to be weak
자세하다,to be detailed
취하다,to be drunk
심심하다,to be bored (ㅅ...)
평일,weekday
일자리,job position
