찌개,stew
에어컨,air conditioning
인구,population
인간,human/human being
대중교통,public transportation
막차,last bus/last train
독립,independence
장,chapter (of book)
사투리,dialect
도장,seal/stamp that many Koreans have
대회,big meeting/conference
우울증,depression
장르,genre
장학금,scholarship
양초,candle
강요하다,force/impose/pressure
세수하다,wash ones face
간호하다,to nurse/to care for
증가(하다),increase
이르다,arrive/reach
다다르다,arrive/reach
바치다,devote/dedicate (목숨을 바치다)
유지하다,to keep/maintain
튼튼하다,robust/strong
중앙,middle/center
종종,often
서서히,gradually/slowly
순전히,purely
요일,day of week
밤새,overnight
