제국,empire
가족사,family history
화분,flowerpot
싹,sprout of a plant/blossom of behavior
치매,dementia/Alzheimer’s disease
속보,breaking news
가로등,streetlight
서열,rank
장미,rose
평등권,equal rights
논쟁하다,to argue about
밀치다,to push, to thrust
물러서다,to back up
싹트다,to blossom/spring up
너무하다,to go too far
복종하다,to obey
매기다,to rank/set something (price, etc)
거두다,to harvest/collect/gather/gain
소홀하다,to neglect
저항하다,to resist
세다,for the power of something to be strong
천하다,to have a low status in life
사악하다,to be evil/wicked/vicious
평등하다,to be equal
누렇다,to be golden yellow
방울,counter for “drops” (like water)
